4,Galih Nugroho,fitri551@gmail.com,08113413164,2023/02/01,PENDING
6,Yuni Setiawan,yuni795@gmail.com,08210564139,12/07/2021,nonaktiff
14,Doni Rahayu,doni662@gmail.com,08116513338,12/01/2023,nonaktif
15,Fauzi Laksono,fauzi946@gmail.com,08528108013,11/13/2019,nonaktif
24,Muhammad Rahayu,muhammad921@gmail.com,08233315869,26/09/2019,suspend
29,Bagas Iskandar,bagas869@gmail.com,08228465648,06/06/2019,nonaktif
32,Ahmad Hidayat,ahmad626@gmail.com,08526936763,2019/08/28,pending
40,Dewi Nugroho,dewi71@gmail.com,08113309232,2023/04/24,aktif
42,Ayu Hartono,ayu204@gmail.com,08583149190,23 Nov 2021,nonaktif
43,Fajar Wijaya,fajar350@gmail.com,08517165726,2019/12/23,Nonaktif
45,Nisa Iskandar,nisa345@gmail.com,08525273545,19 Feb 2021,pending
60,Febri Firmansyah,febri140@gmail.com,08226584044,01 Aug 2024,suspand
80,Rizki Wijaya,rizki152@gmail.com,08134998569,14-12-2023,nonaktif
81,FEBRI SAPUTRA,febri719@gmail.com,08533673657,06/22/2022,pending
83,Eko Hakim,eko687@gmail.com,08515604945,01 Mar 2019,Nonaktif
86,Rizki Pratama,rizki996@gmail.com,08128366752,24-02-2022,pending
88,HENDRA FIRMANSYAH,hendra441@gmail.com,08229784036,2024-09-20,aktif
99,Rudi Pratama,rudi961@gmail.com,08228652816,14-09-2023,aktif
106,Muhammad Permana,muhammad6@gmail.com,08114328986,01-04-2019,Aktif
118,BAMBANG WIBOWO,bambang874@gmail.com,08522715518,30-01-2024,suspend
120,Surya Pratama,surya89@gmail.com,08226786691,29-05-2019,nonaktiff
131,Fitri Iskandar,fitri513@gmail.com,08110257872,19 Oct 2024,aktif
132,GAliH SeTiAWAN,galih743@gmail.com,08587499309,22/05/2023,Nonaktif
143,Mega Nugroho,mega64@gmail.com,08524268414,14 Feb 2022,Aktif
146,Wahyu Santoso,wahyu837@gmail.com,08219106518,2018-09-04,suspand
157,Indah Wibowo,indah424@gmail.com,08583204899,07-09-2022,aktif
164,HENdRA RAmADHaN,hendra355@gmail.com,08126315999,13-06-2022,aktif
168,Ayu Santoso,ayu398@gmail.com,08533982622,06-01-2021,Aktif
174,Rudi Setiawan,rudi441@gmail.com,08111438889,14/06/2024,nonaktif
177,Sri Santoso,sri664@gmail.com,08133828258,10/13/2022,Aktif
178,RuDI sari,fitri373@gmail.com,08581825537,12-04-2019,pending
184,Wulan Nugroho,wulan775@gmail.com,08528361340,17-01-2023,aktiff
192,Eko Hidayat,eko456@gmail.com,08115162713,2022-04-19,pending
194,Putri Wibowo,rizki515@gmail.com,08587311219,22-04-2022,SUSPEND
195,Indah Pratama,indah661@gmail.com,08218999404,21 Apr 2020,NON AKTIF
204,Rizki Ramadhan,rizki515@gmail.com,08133806174,26-06-2021,aktif
206,Sari Santoso,sari355@gmail.com,08230641383,09/16/2022,SUSPEND
209,Fitri Pratama,fitri599@gmail.com,08131277561,05-01-2024,SUSPEND
210,Hendra Laksono,hendra272@gmail.com,08122490352,2019/01/09,Aktif
211,Putri Hartono,rizki515@gmail.com,08222067883,01/23/2019,aktif
224,Yuni Sari,yuni819@gmail.com,08220541152,18/03/2022,pending
232,Rina Iskandar,rina933@gmail.com,08126868548,2023-02-20,Pending
233,Galih Ramadhan,galih430@gmail.com,08512299911,2024-04-23,Pending
238,Fitri Rahayu,fitri468@gmail.com,08233457861,06/05/2018,aktip
247,Nisa laksONo,nisa805@gmail.com,08139666676,2018-01-20,Nonaktif
256,Indah Saputra,indah98@gmail.com,08112255794,16-01-2019,PENDING
271,Dian Purnomo,dian150@gmail.com,08223805719,20/04/2024,pending
275,Ahmad Pratama,ahmad612@gmail.com,08584798515,23/11/2023,SUSPEND
277,Galih Firmansyah,galih575@gmail.com,08125739930,08/07/2021,Suspend
280,Teguh Wijaya,teguh158@gmail.com,08525011024,2024-04-04,Nonaktif
284,Febri Hartono,febri970@gmail.com,08223536822,24/01/2020,non-aktif
293,Ahmad Rahayu,ahmad332@gmail.com,08534498926,31-03-2022,NON AKTIF
299,Agus Permana,sri297@gmail.com,08538117298,2018/01/05,nonaktiff
304,Rudi Pratama,rudi676@gmail.com,08217213865,05 Mar 2024,pending
305,Dewi Sari,dewi652@gmail.com,08122796114,27-06-2020,aktif
307,HENDRo PurnOmo,hendro16@gmail.com,08128489554,15 Jul 2020,SUSPEND
330,Muhammad Laksono,muhammad239@gmail.com,08130735647,03/02/2022,pending
346,MEGA PURNOMO,rudi139@gmail.com,08211572791,2024/09/04,AKTIF
352,mAya IskANDAr,maya711@gmail.com,08227705383,14 Apr 2020,Nonaktif
354,galih susanto,galih671@gmail.com,08126451046,08/04/2020,Nonaktif
358,Rina Ramadhan,rina326@gmail.com,08538125205,08/23/2022,AKTIF
361,Yuni Rahayu,yuni993@gmail.com,08226333127,12/02/2024,pending
362,Doni Hidayat,doni795@gmail.com,08586569998,2023/11/22,suspend
